#name or zone,initiative (true or false),label (optional),min,default,max
sinscales,false,,1,1,1
ammes,false,,1,1,1
tanker,false,,1,1,1
sahagins,false,,1,1,1
geosgaeno,false,,1,1,1
klikk_1,false,,1,1,1
klikk_2,false,,1,1,1
piranhas,false,,1,1,1
tros,false,,1,1,1
wakka_tutorial,false,,1,1,1
elements_tutorial,false,,1,1,1
kimahri,false,,1,1,1
garuda_1,false,,1,1,1
garuda_2,false,,1,1,1
besaid_forced_encounter,false,,1,1,1
sin_fin,false,,1,1,1
echuilles,false,,1,1,1
lancet_tutorial,false,,1,1,1
lord_ochu,false,Lord Ochu (Way In),0,0,1
geneaux,false,,1,1,1
lord_ochu,false,Lord Ochu (Way Out),0,0,1
machina_1,false,,1,1,1
machina_2,false,,1,1,1
machina_3,false,,1,1,1
oblitzerator,false,,1,1,1
sahagin_chiefs,false,,1,1,1
vouivre,false,,1,1,1
garuda,false,,1,1,1
pierce_tutorial,false,,1,1,1
chocobo_eater,false,,1,1,1
sinspawn_gui_1,false,,1,1,1
sinspawn_gui_2,false,,1,1,1
extractor,false,,1,1,1
rikku_tutorial,false,,1,1,1
spherimorph,false,,1,1,1
crawler,false,,1,1,1
seymour,false,,1,1,1
guado_encounter,false,Guado Encounter,0,0,2
wendigo,false,,1,1,1
zu,false,,1,1,1
machina_steal_tutorial,false,,1,1,1
sandragora,true,Sandragora,0,0,5
guado_+_3_bomb,true,,1,1,1
guado_+_2_dual_horn,true,,1,1,1
guado_+_2_chimera,true,,1,1,1
evrae,false,,1,1,1
bevelle_guards_1,false,,1,1,1
bevelle_guards_2,false,,1,1,1
bevelle_guards_3,false,,1,1,1
bevelle_guards_4,false,,1,1,1
bevelle_guards_5,false,,1,1,1
isaaru_grothia,false,,1,1,1
isaaru_pterya,false,,1,1,1
isaaru_spathi,false,,1,1,1
evrae_altana,false,,1,1,1
seymour_natus,false,,1,1,1
defender_x,true,,1,1,1
biran_&_yenke,false,,1,1,1
seymour_flux,true,,1,1,1
sanctuary_keeper,true,,1,1,1
spectral_keeper,false,,1,1,1
yunalesca,false,,1,1,1
left_fin,false,,1,1,1
right_fin,false,,1,1,1
sin_core,false,,1,1,1
overdrive_sin,false,,1,1,1
seymour_omnis,false,,1,1,1
