Auron1,Tidus1,Auton2,Tidus2,Auron3,Tidus3,RNG[0],RNG[1],RNG[2],RNG[3],RNG[4],RNG[5],RNG[6],RNG[7],RNG[8],RNG[9],RNG[10],RNG[11],RNG[12],RNG[13],RNG[14],RNG[15],RNG[16],RNG[17],RNG[18],RNG[19],RNG[20],RNG[21],RNG[22],RNG[23],RNG[24],RNG[25],RNG[26],RNG[27],RNG[28],RNG[29],RNG[30],RNG[31],RNG[32],RNG[33],RNG[34],RNG[35],RNG[36],RNG[37],RNG[38],RNG[39],RNG[40],RNG[41],RNG[42],RNG[43],RNG[44],RNG[45],RNG[46],RNG[47],RNG[48],RNG[49],RNG[50],RNG[51],RNG[52],RNG[53],RNG[54],RNG[55],RNG[56],RNG[57],RNG[58],RNG[59],RNG[60],RNG[61],RNG[62],RNG[63],RNG[64],RNG[65],RNG[66],RNG[67]
269,133,288,138,268,132,1520130368,846530240,636781782,1453532456,486314314,1013376504,520968374,235052031,1020277859,675546014,1938486556,608269961,1665293640,563964565,805142578,1978584782,763010641,757718574,1583031031,614987225,231866457,844230050,1931436041,46283934,1888143835,1218196643,25445693,742777023,479169857,1104798125,880129271,1051167642,1844912086,2107818072,1726776805,1720565692,1969267111,806847309,1486248201,1069675969,2086276941,345354575,358616189,143018405,1632471215,775916534,105069217,1220124083,617887331,1917053513,1308754713,135398418,491710337,488266028,1318120688,115692116,1398344973,1901490608,648325973,2076044854,159576790,1017287188,974695508,1431867949,1458953160,169673237,1971164619,239847337
279,132,294,139,263,127,891005741,871770708,190396922,1507273886,545948526,1352314834,537855150,249241415,540533207,319277716,77145073,1162501831,767006517,723416000,653563357,1533409494,446870759,140014803,1685332444,201375700,114891092,1448660295,1178084326,1207080116,590912338,160387035,647731246,1079721172,1473829606,2062759033,586255881,683772292,692675430,1433623548,1520501781,1065236214,2101532467,1414805183,177189787,1096531327,1951391677,549868535,2041066942,439014363,983332405,639530785,658113804,1039209153,1834640547,1904478294,941790510,291170933,1130254180,1521051568,883217570,371111468,2140209703,1117288649,109156821,339620320,160745118,1653259226,926349739,363598856,2069710468,977830518,1187156993,731532921
260,134,274,136,287,129,261946650,896981325,1184254808,1038930548,1073283220,1385785197,959809574,355679771,1708906552,1917663586,366926416,1304739061,1339946607,989827208,433889550,1622897230,788173268,1624849129,2099350984,1142782712,1745665702,364040091,1297863309,1557527044,197702796,2070973527,1468508290,1300158388,305724426,438789829,1055759120,428176496,2087009887,1823441015,136810470,1676883917,253076921,288514334,1460366315,1760264930,358571179,615231416,2009952101,101567297,937057317,768489190,1190328122,1142388744,1868351022,1717216517,237904917,1602072067,73683481,856818112,754272014,1589341481,274861903,727722792,2063381023,1466939409,367631069,1415971128,525169192,2113743945,1476553222,1385343125,637421981,103147075
276,136,278,131,275,141,1780341355,23824167,999821878,1032025458,2016341714,2064599136,1779735123,804502900,1995998951,1649912756,909725873,755633477,1869470435,1489228088,793582363,383493995,1651258456,720145244,729887390,2123046084,25758945,2079993704,1748817202,2129566450,1135529844,284725884,1528893499,746318627,33808536,1613583034,1570148284,90235154,1313776029,1042656702,1915402627,233052573,371567582,348875646,250274031,1065324532,58257501,266727985,1686744593,602566317,1433819661,1381378062,599432845,1490396719,1371553966,987436488,1813860867,946068257,456771512,1875713148,1293996291,1399041911,321360514,528392665,1775380078,530220695,1388871155,1578375172,1640578135,1200075024,1199870764,814827095,965202794,856072401
274,131,263,126,276,131,1151282264,49100320,1993649913,2003990402,2021561788,1667271134,717924930,1044344087,1128782377,291631589,42852788,70845799,1255663318,10672404,1025052413,84297214,1131100362,1374107795,1597224313,133298567,2071451227,924583411,101992401,212436439,1191716725,1415447772,453045595,1243369094,2031306717,358988184,2100113703,1301839084,693147165,883274053,594394455,747094274,2013223435,999026794,604446767,1941944433,1539979169,431595348,878229662,1552625550,423265420,191964718,1180387631,549424616,817724768,1393891029,1698559215,595597975,919080674,1365177522,1819209859,1088702564,396936127,730834054,1729325584,1149565631,1586516292,940101232,2120518160,1686420001,372879813,1441678593,10116049,1890159000
271,134,285,132,287,138,522223173,74310937,840024152,1726839472,866462159,534749189,355324373,742243898,1192685717,234738918,485692622,1266377987,929273743,748714429,1657126753,1752816966,181592393,1090665373,2483000,1229788306,533651908,982069396,1117293664,1041546087,416814679,1233676874,1499955192,1628212625,1365930409,1457643981,555058224,1931812035,1982090826,1298603589,611188694,1570982111,288336293,1095625378,1142887379,527677326,1094413345,1345955967,726631396,287894876,1434517926,78849755,2040269583,1042281657,1009889556,1964563872,206864933,734948793,2033306268,1606462279,1547145067,1785444498,1406105063,760752198,567478198,419607042,218054503,752381577,994179456,733312896,1639275130,743895197,1764127210,998671989
269,125,284,134,262,131,2040582194,99551405,393639292,1780515366,926060686,1580892736,1601501134,1518022786,1971256480,1196737860,2080976621,1857398418,969841484,1160837877,1172154830,343613559,673731356,977337001,1675743956,98108017,231311049,209827529,2088875908,1330157362,149869804,1632706806,1329800311,1009253938,737082876,1151431634,1947129797,1408112059,1476119043,274986254,79335502,83532485,1122913696,1012177706,1103549969,1810476165,61706901,2013115977,1241630506,499606087,255333742,1788561555,791918899,2119460222,820695991,543657858,1887343223,573026142,1984623664,589610664,746382020,529073094,995299371,1982574420,72917071,1616880682,1321641038,1761296485,2064493263,81781323,1019970811,2084332231,1102548189,1315326942
272,133,275,139,263,134,1411493252,1565070304,865382559,1072697144,625812793,1588697917,440783188,1851342612,2065232213,431911448,1202520150,270701056,1446335209,1965136934,2033381659,81537611,617365147,408665819,1906022171,47975862,1996681427,1349778547,1184089693,2112228857,1920096241,1229554868,1396266735,1300212987,1144753043,506733007,2011171604,1998095432,77393215,185595747,390334887,941071229,1938181813,278810609,558500789,563977674,719812428,288438584,927794621,516310393,1475453578,1252452102,596814681,693266303,105890397,1776706808,973909496,118304438,2080546080,433388376,770487232,1727344124,882973011,1257510871,1627940903,9949510,1322420374,291723977,813795478,291695060,416904668,805359722,67536876,5281665
291,139,274,128,266,130,782434161,1590280921,1859240445,604353806,1153081951,1622132595,1570008365,1039557454,1140536048,619014467,614737074,1550769119,271597767,1471686045,1378225931,613170679,1269274849,939107193,1844594648,1550653400,1819073852,417414067,2060691662,796573433,1198652342,1560492084,616081321,618809083,104595224,1756164461,724978121,2072144019,1328800451,337917344,1146399335,1675095125,549306298,1586949094,804481201,621436600,46998981,434998058,1908886967,1114098876,375471038,2016096028,104905022,2074791789,1094053756,203514352,803521497,1406288688,1311032559,864014487,80201367,315095693,617994088,809302035,1823723592,10307016,1545390000,346328135,557318270,1475048620,672178014,642466663,1087868850,326053697
286,132,260,131,285,132,153375070,1615557074,705650369,1767481307,916175984,1684312386,1631526716,585182333,679852534,742613835,567045704,1453155912,782070626,2011080052,2130227853,1020639881,927068339,1674862397,1850054775,2649894,942868317,585478681,319965675,2129411105,1614381105,1787399458,1621005718,845357913,22130918,1760738647,747136379,247214642,804219569,1862918715,108814340,1237912724,244931846,831696916,270073690,1488381298,674174957,1538670346,153579665,1617552774,202579319,2032664690,1328485942,1367543603,1817449085,1720035117,536204536,1779229663,942648952,965517259,4963334,747801864,945621797,953026426,1834396488,1738357489,1481215969,721025149,612729475,1524914833,845817884,1128332617,1292003394,876544319
269,135,263,137,280,132,1671769775,742399916,521217439,1760576217,1859234478,215708213,303938767,518022504,909945175,1216849609,746692396,1821418416,1621430897,1573529083,20676776,914132245,1283342326,172168474,762784732,2114004084,435716382,1997206902,633547050,1204241865,1736541850,1962336543,1651529546,1516714279,1972897577,1382140918,1178801380,1177102127,918524331,229363572,284729933,328627632,983879875,2049194600,1060943809,106541586,1129280835,1621383436,1643173200,1422216022,656618830,502970277,1196263257,1968313771,564915438,1880820297,1845655384,434977798,747821632,393517169,1003094941,1747324321,129658050,2059346506,1902567542,1556291590,546519919,1946127491,1290004773,1322134330,1209464511,1250926001,235530016,1272282470
267,139,288,136,262,133,1042645148,767640384,74767043,1814281962,478590259,1783870992,1082444897,158961077,1805497374,369813076,928566844,769736356,2129167168,1148530431,1003482472,1581048496,1000675739,2136754514,797923688,2050792665,1892836011,44845148,1015080162,1063199441,1940491592,295529051,454822434,832520512,980761154,239024018,1859065421,1469434951,1631086444,768656520,501015763,343115757,196452058,1177979096,23908881,1474922710,1789084671,80722685,1627807860,1173948867,1998849429,1459494006,146993733,1215178541,536228659,542403191,1512598276,550060397,993381477,923633132,911299885,1173764046,444288833,1272594950,177393413,539909387,1787582871,298345708,827375612,1319163833,1261582126,2069568661,1778227119,423639441
263,129,260,136,261,136,413586057,792851001,1068624929,1346004160,1005895102,1110100453,982380089,733070064,1961161850,1851181826,1778297640,2063431208,301812455,911723266,1778294413,1490406147,1969488283,123468188,1791054193,952770901,163446288,679781992,1530723952,1852130231,1349012384,1918204213,1428025280,318078973,436580178,1838114975,1475367178,589769536,208978160,719638866,1469016094,436935020,1741735502,1392202202,1698105224,215830157,1222014574,798710458,93807742,1273674139,526090922,390544253,327530591,246395525,1638817783,900231119,1038107217,1630135892,928564855,640155057,1846167134,155931795,1798572844,143745209,1479689591,1093120885,274625618,646907036,1103142797,1037441304,716012888,2012026817,1717195720,1646060000
285,130,278,136,267,135,1932010614,818061618,2062482815,877660822,1533229795,952378407,748158315,1349229144,1760374145,991571616,22327205,525226880,766842173,1011241201,105502089,1581366826,281477793,817500489,822228707,616849077,1620996125,916830298,1438030698,453469662,1993037962,413620413,1573241132,1452360200,559718633,992078338,620685600,366298150,1093870644,1085887413,161362121,511834622,1198215508,1851353951,766509628,836839495,758649371,165400892,1558247157,836612112,1652875407,2040539266,1300175070,365643765,652097149,444965177,1253156314,154575380,169428847,805279466,1418139959,199743974,368249561,1456615263,28322893,93718023,1777845982,1003182604,1190220095,2131743994,14074323,1165244288,565515516,1470161270
